url,university_code,university_name
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-phong-khong-khong-quan-PKH.html,PKH,Học Viện Phòng Không – Không Quân
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-an-giang-dai-hoc-quoc-gia-tphcm-TAG.html,TAG,Đại Học An Giang
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-ky-thuat-nam-dinh-SKN.html,SKN,Đại Học Sư Phạm Kỹ Thuật Nam Định
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-nam-BVS.html,BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam)
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dien-luc-DDL.html,DDL,Đại Học Điện Lực
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-chinh-sach-va-phat-trien-HCP.html,HCP,Học Viện Chính Sách và Phát Triển
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-pham-van-dong-DPQ.html,DPQ,Đại Học Phạm Văn Đồng
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-ky-thuat-vinh-SKV.html,SKV,Đại Học Sư Phạm Kỹ Thuật Vinh
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-can-tho-YCT.html,YCT,Đại Học Y Dược Cần Thơ
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-quang-ninh-DDM.html,DDM,Đại Học Công Nghiệp Quảng Ninh
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-bac-BVH.html,BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc)
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-tphcm-KSA.html,KSA,Đại Học Kinh Tế TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bach-khoa-ha-noi-BKA.html,BKA,Đại Học Bách Khoa Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-bao-chi-va-tuyen-truyen-HBT.html,HBT,Học viện Báo chí và Tuyên truyền
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-viet-hung-VHD.html,VHD,Đại Học Công Nghiệp Việt Hung
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bach-khoa-dai-hoc-quoc-gia-tphcm-QSB.html,QSB,Đại Học Bách Khoa – Đại Học Quốc Gia TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ky-thuat-cong-nghe-can-tho-KCC.html,KCC,Đại học Kỹ Thuật Công Nghệ Cần Thơ
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ky-thuat-mat-ma-KMA.html,KMA,Học Viện Kỹ Thuật Mật Mã
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tai-chinh-ke-toan-UFA.html,UFA,Đại học Tài Chính Kế Toán
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-dong-nai-DCD.html,DCD,Đại Học Công Nghệ Đồng Nai
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-giao-thong-van-tai-co-so-phia-bac-GHA.html,GHA,Đại Học Giao Thông Vận Tải (Cơ sở Phía Bắc)
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-can-tho-TCT.html,TCT,Đại Học Cần Thơ
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-dai-hoc-da-nang-DDQ.html,DDQ,Đại Học Kinh Tế – Đại Học Đà Nẵng
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nam-can-tho-DNC.html,DNC,Đại học Nam Cần Thơ
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-dai-hoc-da-nang-DDS.html,DDS,Đại Học Sư Phạm – Đại Học Đà Nẵng
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngoai-thuong-co-so-phia-nam-NTS.html,NTS,Đại học Ngoại thương (Cơ sở phía Nam)
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngoai-thuong-co-so-phia-bac-NTH.html,NTH,Đại học Ngoại thương (Cơ sở phía Bắc)
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hong-duc-HDT.html,HDT,Đại Học Hồng Đức
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-thong-tin-va-truyen-thong-dai-hoc-thai-nguyen-DTC.html,DTC,Đại học Công Nghệ Thông Tin và Truyền Thông – Đại Học Thái Nguyên
https://diemthi.tuyensinh247.com/diem-chuan/truong-ngoai-ngu-dai-hoc-thai-nguyen-DTF.html,DTF,Trường Ngoại Ngữ – Đại Học Thái Nguyên
https://diemthi.tuyensinh247.com/diem-chuan/daihoc-su-pham-dai-hoc-thai-nguyen-DTS.html,DTS,Đại Học Sư Phạm
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-dai-hoc-thai-nguyen-DTZ.html,DTZ,Đại Học Khoa Học – Đại Học Thái Nguyên
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-tequan-tri-kinh-doanh-dai-hoc-thai-nguyen-DTE.html,DTE,Đại học Kinh tế Quản trị kinh doanh
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ky-thuat-cong-nghiep-dai-hoc-thai-nguyen-DTK.html,DTK,Đại Học Kỹ Thuật Công Nghiệp – Đại Học Thái Nguyên
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nong-lam-dai-hoc-thai-nguyen-DTN.html,DTN,Đại Học Nông Lâm – Đại Học Thái Nguyên
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-dai-hoc-thai-nguyen-DTY.html,DTY,Đại Học Y Dược – Đại Học Thái Nguyên
